Name,Year,Genre,Run_time,Rating,Meta_score,Director_cast,Votes,Vote_gross
The Shawshank Redemption,(1994),"
Drama            ",142 min,"

9.3
",80        ,"
    Director:
Frank Darabont
| 
    Stars:
Tim Robbins, 
Morgan Freeman, 
Bob Gunton, 
William Sadler
","2,377,480","
Votes:
2,377,480
| Gross:
$28.34M
"
The Godfather,(1972),"
Crime, Drama            ",175 min,"

9.2
",100        ,"
    Director:
Francis Ford Coppola
| 
    Stars:
Marlon Brando, 
Al Pacino, 
James Caan, 
Diane Keaton
","1,646,818","
Votes:
1,646,818
| Gross:
$134.97M
"
The Dark Knight,(2008),"
Action, Crime, Drama            ",152 min,"

9.0
",84        ,"
    Director:
Christopher Nolan
| 
    Stars:
Christian Bale, 
Heath Ledger, 
Aaron Eckhart, 
Michael Caine
","2,341,261","
Votes:
2,341,261
| Gross:
$534.86M
"
The Godfather: Part II,(1974),"
Crime, Drama            ",202 min,"

9.0
",90        ,"
    Director:
Francis Ford Coppola
| 
    Stars:
Al Pacino, 
Robert De Niro, 
Robert Duvall, 
Diane Keaton
","1,146,666","
Votes:
1,146,666
| Gross:
$57.30M
"
12 Angry Men,(1957),"
Crime, Drama            ",96 min,"

9.0
",96        ,"
    Director:
Sidney Lumet
| 
    Stars:
Henry Fonda, 
Lee J. Cobb, 
Martin Balsam, 
John Fiedler
","701,882","
Votes:
701,882
| Gross:
$4.36M
"
The Lord of the Rings: The Return of the King,(2003),"
Action, Adventure, Drama            ",201 min,"

8.9
",94        ,"
    Director:
Peter Jackson
| 
    Stars:
Elijah Wood, 
Viggo Mortensen, 
Ian McKellen, 
Orlando Bloom
","1,663,902","
Votes:
1,663,902
| Gross:
$377.85M
"
Pulp Fiction,(1994),"
Crime, Drama            ",154 min,"

8.9
",94        ,"
    Director:
Quentin Tarantino
| 
    Stars:
John Travolta, 
Uma Thurman, 
Samuel L. Jackson, 
Bruce Willis
","1,852,195","
Votes:
1,852,195
| Gross:
$107.93M
"
Schindler's List,(1993),"
Biography, Drama, History            ",195 min,"

8.9
",94        ,"
    Director:
Steven Spielberg
| 
    Stars:
Liam Neeson, 
Ralph Fiennes, 
Ben Kingsley, 
Caroline Goodall
","1,229,549","
Votes:
1,229,549
| Gross:
$96.90M
"
Inception,(2010),"
Action, Adventure, Sci-Fi            ",148 min,"

8.8
",74        ,"
    Director:
Christopher Nolan
| 
    Stars:
Leonardo DiCaprio, 
Joseph Gordon-Levitt, 
Elliot Page, 
Ken Watanabe
","2,099,854","
Votes:
2,099,854
| Gross:
$292.58M
"
Fight Club,(1999),"
Drama            ",139 min,"

8.8
",66        ,"
    Director:
David Fincher
| 
    Stars:
Brad Pitt, 
Edward Norton, 
Meat Loaf, 
Zach Grenier
","1,881,336","
Votes:
1,881,336
| Gross:
$37.03M
"
The Lord of the Rings: The Fellowship of the Ring,(2001),"
Action, Adventure, Drama            ",178 min,"

8.8
",92        ,"
    Director:
Peter Jackson
| 
    Stars:
Elijah Wood, 
Ian McKellen, 
Orlando Bloom, 
Sean Bean
","1,683,989","
Votes:
1,683,989
| Gross:
$315.54M
"
Forrest Gump,(1994),"
Drama, Romance            ",142 min,"

8.8
",82        ,"
    Director:
Robert Zemeckis
| 
    Stars:
Tom Hanks, 
Robin Wright, 
Gary Sinise, 
Sally Field
","1,838,908","
Votes:
1,838,908
| Gross:
$330.25M
"
"Il buono, il brutto, il cattivo",(1966),"
Western            ",161 min,"

8.8
",90        ,"
    Director:
Sergio Leone
| 
    Stars:
Clint Eastwood, 
Eli Wallach, 
Lee Van Cleef, 
Aldo Giuffrè
","697,056","
Votes:
697,056
| Gross:
$6.10M
"
The Lord of the Rings: The Two Towers,(2002),"
Action, Adventure, Drama            ",179 min,"

8.7
",87        ,"
    Director:
Peter Jackson
| 
    Stars:
Elijah Wood, 
Ian McKellen, 
Viggo Mortensen, 
Orlando Bloom
","1,504,615","
Votes:
1,504,615
| Gross:
$342.55M
"
The Matrix,(1999),"
Action, Sci-Fi            ",136 min,"

8.7
",73        ,"
    Directors:
Lana Wachowski, 
Lilly Wachowski
| 
    Stars:
Keanu Reeves, 
Laurence Fishburne, 
Carrie-Anne Moss, 
Hugo Weaving
","1,700,513","
Votes:
1,700,513
| Gross:
$171.48M
"
Goodfellas,(1990),"
Biography, Crime, Drama            ",146 min,"

8.7
",90        ,"
    Director:
Martin Scorsese
| 
    Stars:
Robert De Niro, 
Ray Liotta, 
Joe Pesci, 
Lorraine Bracco
","1,036,656","
Votes:
1,036,656
| Gross:
$46.84M
"
Star Wars: Episode V - The Empire Strikes Back,(1980),"
Action, Adventure, Fantasy            ",124 min,"

8.7
",82        ,"
    Director:
Irvin Kershner
| 
    Stars:
Mark Hamill, 
Harrison Ford, 
Carrie Fisher, 
Billy Dee Williams
","1,173,214","
Votes:
1,173,214
| Gross:
$290.48M
"
One Flew Over the Cuckoo's Nest,(1975),"
Drama            ",133 min,"

8.7
",83        ,"
    Director:
Milos Forman
| 
    Stars:
Jack Nicholson, 
Louise Fletcher, 
Michael Berryman, 
Peter Brocco
","929,075","
Votes:
929,075
| Gross:
$112.00M
"
Gisaengchung,(2019),"
Comedy, Drama, Thriller            ",132 min,"

8.6
",96        ,"
    Director:
Bong Joon Ho
| 
    Stars:
Kang-ho Song, 
Sun-kyun Lee, 
Yeo-jeong Cho, 
Woo-sik Choi
","591,108","
Votes:
591,108
| Gross:
$53.37M
"
Soorarai Pottru,(2020),"
Drama            ",153 min,"

8.6
",,"
    Director:
Sudha Kongara
| 
    Stars:
Suriya, 
Madhavan, 
Aparna Balamurali, 
Paresh Rawal
","58,433","
Votes:
58,433
"
Interstellar,(2014),"
Adventure, Drama, Sci-Fi            ",169 min,"

8.6
",74        ,"
    Director:
Christopher Nolan
| 
    Stars:
Matthew McConaughey, 
Anne Hathaway, 
Jessica Chastain, 
Mackenzie Foy
","1,544,204","
Votes:
1,544,204
| Gross:
$188.02M
"
Cidade de Deus,(2002),"
Crime, Drama            ",130 min,"

8.6
",79        ,"
    Directors:
Fernando Meirelles, 
Kátia Lund
| 
    Stars:
Alexandre Rodrigues, 
Leandro Firmino, 
Matheus Nachtergaele, 
Phellipe Haagensen
","706,471","
Votes:
706,471
| Gross:
$7.56M
"
Sen to Chihiro no kamikakushi,(2001),"
Animation, Adventure, Family            ",125 min,"

8.6
",96        ,"
    Director:
Hayao Miyazaki
| 
    Stars:
Daveigh Chase, 
Suzanne Pleshette, 
Miyu Irino, 
Rumi Hiiragi
","665,106","
Votes:
665,106
| Gross:
$10.06M
"
Saving Private Ryan,(1998),"
Drama, War            ",169 min,"

8.6
",91        ,"
    Director:
Steven Spielberg
| 
    Stars:
Tom Hanks, 
Matt Damon, 
Tom Sizemore, 
Edward Burns
","1,253,851","
Votes:
1,253,851
| Gross:
$216.54M
"
The Green Mile,(1999),"
Crime, Drama, Fantasy            ",189 min,"

8.6
",61        ,"
    Director:
Frank Darabont
| 
    Stars:
Tom Hanks, 
Michael Clarke Duncan, 
David Morse, 
Bonnie Hunt
","1,166,235","
Votes:
1,166,235
| Gross:
$136.80M
"
La vita è bella,(1997),"
Comedy, Drama, Romance            ",116 min,"

8.6
",,"
    Director:
Roberto Benigni
| 
    Stars:
Roberto Benigni, 
Nicoletta Braschi, 
Giorgio Cantarini, 
Giustino Durano
","633,126","
Votes:
633,126
| Gross:
$57.60M
"
Se7en,(1995),"
Crime, Drama, Mystery            ",127 min,"

8.6
",65        ,"
    Director:
David Fincher
| 
    Stars:
Morgan Freeman, 
Brad Pitt, 
Kevin Spacey, 
Andrew Kevin Walker
","1,467,956","
Votes:
1,467,956
| Gross:
$100.13M
"
The Silence of the Lambs,(1991),"
Crime, Drama, Thriller            ",118 min,"

8.6
",85        ,"
    Director:
Jonathan Demme
| 
    Stars:
Jodie Foster, 
Anthony Hopkins, 
Lawrence A. Bonney, 
Kasi Lemmons
","1,290,509","
Votes:
1,290,509
| Gross:
$130.74M
"
Star Wars,(1977),"
Action, Adventure, Fantasy            ",121 min,"

8.6
",90        ,"
    Director:
George Lucas
| 
    Stars:
Mark Hamill, 
Harrison Ford, 
Carrie Fisher, 
Alec Guinness
","1,245,210","
Votes:
1,245,210
| Gross:
$322.74M
"
Seppuku,(1962),"
Action, Drama, Mystery            ",133 min,"

8.6
",85        ,"
    Director:
Masaki Kobayashi
| 
    Stars:
Tatsuya Nakadai, 
Akira Ishihama, 
Shima Iwashita, 
Tetsurô Tanba
","44,169","
Votes:
44,169
"
Shichinin no samurai,(1954),"
Action, Adventure, Drama            ",207 min,"

8.6
",98        ,"
    Director:
Akira Kurosawa
| 
    Stars:
Toshirô Mifune, 
Takashi Shimura, 
Keiko Tsushima, 
Yukiko Shimazaki
","319,844","
Votes:
319,844
| Gross:
$0.27M
"
It's a Wonderful Life,(1946),"
Drama, Family, Fantasy            ",130 min,"

8.6
",89        ,"
    Director:
Frank Capra
| 
    Stars:
James Stewart, 
Donna Reed, 
Lionel Barrymore, 
Thomas Mitchell
","410,692","
Votes:
410,692
"
Hamilton,(2020),"
Biography, Drama, History            ",160 min,"

8.5
",90        ,"
    Director:
Thomas Kail
| 
    Stars:
Lin-Manuel Miranda, 
Phillipa Soo, 
Leslie Odom Jr., 
Renée Elise Goldsberry
","62,258","
Votes:
62,258
"
Ratsasan,(2018),"
Action, Crime, Thriller            ",170 min,"

8.5
",,"
    Director:
Ram Kumar
| 
    Stars:
Vishnu Vishal, 
Amala Paul, 
Radha Ravi, 
Sangili Murugan
","27,340","
Votes:
27,340
"
Whiplash,(2014),"
Drama, Music            ",106 min,"

8.5
",88        ,"
    Director:
Damien Chazelle
| 
    Stars:
Miles Teller, 
J.K. Simmons, 
Melissa Benoist, 
Paul Reiser
","732,412","
Votes:
732,412
| Gross:
$13.09M
"
The Intouchables,(2011),"
Biography, Comedy, Drama            ",112 min,"

8.5
",,"
    Directors:
Olivier Nakache, 
Éric Toledano
| 
    Stars:
François Cluzet, 
Omar Sy, 
Anne Le Ny, 
Audrey Fleurot
","773,592","
Votes:
773,592
| Gross:
$13.18M
"
The Prestige,(2006),"
Drama, Mystery, Sci-Fi            ",130 min,"

8.5
",66        ,"
    Director:
Christopher Nolan
| 
    Stars:
Christian Bale, 
Hugh Jackman, 
Scarlett Johansson, 
Michael Caine
","1,208,183","
Votes:
1,208,183
| Gross:
$53.09M
"
The Departed,(2006),"
Crime, Drama, Thriller            ",151 min,"

8.5
",85        ,"
    Director:
Martin Scorsese
| 
    Stars:
Leonardo DiCaprio, 
Matt Damon, 
Jack Nicholson, 
Mark Wahlberg
","1,206,364","
Votes:
1,206,364
| Gross:
$132.38M
"
The Pianist,(2002),"
Biography, Drama, Music            ",150 min,"

8.5
",85        ,"
    Director:
Roman Polanski
| 
    Stars:
Adrien Brody, 
Thomas Kretschmann, 
Frank Finlay, 
Emilia Fox
","743,233","
Votes:
743,233
| Gross:
$32.57M
"
Gladiator,(2000),"
Action, Adventure, Drama            ",155 min,"

8.5
",67        ,"
    Director:
Ridley Scott
| 
    Stars:
Russell Crowe, 
Joaquin Phoenix, 
Connie Nielsen, 
Oliver Reed
","1,358,929","
Votes:
1,358,929
| Gross:
$187.71M
"
American History X,(1998),"
Drama            ",119 min,"

8.5
",62        ,"
    Director:
Tony Kaye
| 
    Stars:
Edward Norton, 
Edward Furlong, 
Beverly D'Angelo, 
Jennifer Lien
","1,045,383","
Votes:
1,045,383
| Gross:
$6.72M
"
The Usual Suspects,(1995),"
Crime, Mystery, Thriller            ",106 min,"

8.5
",77        ,"
    Director:
Bryan Singer
| 
    Stars:
Kevin Spacey, 
Gabriel Byrne, 
Chazz Palminteri, 
Stephen Baldwin
","1,002,798","
Votes:
1,002,798
| Gross:
$23.34M
"
Léon,(1994),"
Action, Crime, Drama            ",110 min,"

8.5
",64        ,"
    Director:
Luc Besson
| 
    Stars:
Jean Reno, 
Gary Oldman, 
Natalie Portman, 
Danny Aiello
","1,050,295","
Votes:
1,050,295
| Gross:
$19.50M
"
The Lion King,(1994),"
Animation, Adventure, Drama            ",88 min,"

8.5
",88        ,"
    Directors:
Roger Allers, 
Rob Minkoff
| 
    Stars:
Matthew Broderick, 
Jeremy Irons, 
James Earl Jones, 
Whoopi Goldberg
","956,036","
Votes:
956,036
| Gross:
$422.78M
"
Terminator 2: Judgment Day,(1991),"
Action, Sci-Fi            ",137 min,"

8.5
",75        ,"
    Director:
James Cameron
| 
    Stars:
Arnold Schwarzenegger, 
Linda Hamilton, 
Edward Furlong, 
Robert Patrick
","1,006,242","
Votes:
1,006,242
| Gross:
$204.84M
"
Nuovo Cinema Paradiso,(1988),"
Drama, Romance            ",155 min,"

8.5
",80        ,"
    Director:
Giuseppe Tornatore
| 
    Stars:
Philippe Noiret, 
Enzo Cannavale, 
Antonella Attili, 
Isa Danieli
","234,745","
Votes:
234,745
| Gross:
$11.99M
"
Hotaru no haka,(1988),"
Animation, Drama, War            ",89 min,"

8.5
",94        ,"
    Director:
Isao Takahata
| 
    Stars:
Tsutomu Tatsumi, 
Ayano Shiraishi, 
Akemi Yamaguchi, 
Yoshiko Shinohara
","240,628","
Votes:
240,628
"
Back to the Future,(1985),"
Adventure, Comedy, Sci-Fi            ",116 min,"

8.5
",87        ,"
    Director:
Robert Zemeckis
| 
    Stars:
Michael J. Fox, 
Christopher Lloyd, 
Lea Thompson, 
Crispin Glover
","1,074,676","
Votes:
1,074,676
| Gross:
$210.61M
"
Once Upon a Time in the West,(1968),"
Western            ",165 min,"

8.5
",80        ,"
    Director:
Sergio Leone
| 
    Stars:
Henry Fonda, 
Charles Bronson, 
Claudia Cardinale, 
Jason Robards
","306,436","
Votes:
306,436
| Gross:
$5.32M
"
Psycho,(1960),"
Horror, Mystery, Thriller            ",109 min,"

8.5
",97        ,"
    Director:
Alfred Hitchcock
| 
    Stars:
Anthony Perkins, 
Janet Leigh, 
Vera Miles, 
John Gavin
","612,350","
Votes:
612,350
| Gross:
$32.00M
"
Casablanca,(1942),"
Drama, Romance, War            ",102 min,"

8.5
",100        ,"
    Director:
Michael Curtiz
| 
    Stars:
Humphrey Bogart, 
Ingrid Bergman, 
Paul Henreid, 
Claude Rains
","528,248","
Votes:
528,248
| Gross:
$1.02M
"
Modern Times,(1936),"
Comedy, Drama, Family            ",87 min,"

8.5
",96        ,"
    Director:
Charles Chaplin
| 
    Stars:
Charles Chaplin, 
Paulette Goddard, 
Henry Bergman, 
Tiny Sandford
","221,338","
Votes:
221,338
| Gross:
$0.16M
"
City Lights,(1931),"
Comedy, Drama, Romance            ",87 min,"

8.5
",99        ,"
    Director:
Charles Chaplin
| 
    Stars:
Charles Chaplin, 
Virginia Cherrill, 
Florence Lee, 
Harry Myers
","170,185","
Votes:
170,185
| Gross:
$0.02M
"
Capharnaüm,(2018),"
Drama            ",126 min,"

8.4
",75        ,"
    Director:
Nadine Labaki
| 
    Stars:
Zain Al Rafeea, 
Yordanos Shiferaw, 
Boluwatife Treasure Bankole, 
Kawsar Al Haddad
","67,115","
Votes:
67,115
| Gross:
$1.66M
"
Joker,(2019),"
Crime, Drama, Thriller            ",122 min,"

8.4
",,"
    Director:
Todd Phillips
| 
    Stars:
Joaquin Phoenix, 
Robert De Niro, 
Zazie Beetz, 
Frances Conroy
","981,508","
Votes:
981,508
| Gross:
$335.45M
"
Ayla: The Daughter of War,(2017),"
Biography, Drama, History            ",125 min,"

8.4
",,"
    Director:
Can Ulkay
| 
    Stars:
Çetin Tekindor, 
Ismail Hacioglu, 
Kyung-jin Lee, 
Kim Seol
","35,122","
Votes:
35,122
"
Vikram Vedha,(2017),"
Action, Crime, Drama            ",147 min,"

8.4
",,"
    Directors:
Gayatri, 
Pushkar
| 
    Stars:
Madhavan, 
Vijay Sethupathi, 
Shraddha Srinath, 
Kathir
","29,633","
Votes:
29,633
"
Kimi no na wa.,(2016),"
Animation, Drama, Fantasy            ",106 min,"

8.4
",79        ,"
    Director:
Makoto Shinkai
| 
    Stars:
Ryûnosuke Kamiki, 
Mone Kamishiraishi, 
Ryô Narita, 
Aoi Yûki
","204,600","
Votes:
204,600
| Gross:
$5.02M
"
Dangal,(2016),"
Action, Biography, Drama            ",161 min,"

8.4
",,"
    Director:
Nitesh Tiwari
| 
    Stars:
Aamir Khan, 
Sakshi Tanwar, 
Fatima Sana Shaikh, 
Sanya Malhotra
","160,716","
Votes:
160,716
| Gross:
$12.39M
"
Spider-Man: Into the Spider-Verse,(2018),"
Animation, Action, Adventure            ",117 min,"

8.4
",87        ,"
    Directors:
Bob Persichetti, 
Peter Ramsey, 
Rodney Rothman
| 
    Stars:
Shameik Moore, 
Jake Johnson, 
Hailee Steinfeld, 
Mahershala Ali
","392,622","
Votes:
392,622
| Gross:
$190.24M
"
Avengers: Endgame,(2019),"
Action, Adventure, Drama            ",181 min,"

8.4
",78        ,"
    Directors:
Anthony Russo, 
Joe Russo
| 
    Stars:
Robert Downey Jr., 
Chris Evans, 
Mark Ruffalo, 
Chris Hemsworth
","856,425","
Votes:
856,425
| Gross:
$858.37M
"
Avengers: Infinity War,(2018),"
Action, Adventure, Sci-Fi            ",149 min,"

8.4
",68        ,"
    Directors:
Anthony Russo, 
Joe Russo
| 
    Stars:
Robert Downey Jr., 
Chris Hemsworth, 
Mark Ruffalo, 
Chris Evans
","865,406","
Votes:
865,406
| Gross:
$678.82M
"
Coco,(I) (2017),"
Animation, Adventure, Family            ",105 min,"

8.4
",81        ,"
    Directors:
Lee Unkrich, 
Adrian Molina
| 
    Stars:
Anthony Gonzalez, 
Gael García Bernal, 
Benjamin Bratt, 
Alanna Ubach
","399,458","
Votes:
399,458
| Gross:
$209.73M
"
Django Unchained,(2012),"
Drama, Western            ",165 min,"

8.4
",81        ,"
    Director:
Quentin Tarantino
| 
    Stars:
Jamie Foxx, 
Christoph Waltz, 
Leonardo DiCaprio, 
Kerry Washington
","1,379,979","
Votes:
1,379,979
| Gross:
$162.81M
"
The Dark Knight Rises,(2012),"
Action, Adventure            ",164 min,"

8.4
",78        ,"
    Director:
Christopher Nolan
| 
    Stars:
Christian Bale, 
Tom Hardy, 
Anne Hathaway, 
Gary Oldman
","1,536,594","
Votes:
1,536,594
| Gross:
$448.14M
"
3 Idiots,(2009),"
Comedy, Drama            ",170 min,"

8.4
",67        ,"
    Director:
Rajkumar Hirani
| 
    Stars:
Aamir Khan, 
Madhavan, 
Mona Singh, 
Sharman Joshi
","350,494","
Votes:
350,494
| Gross:
$6.53M
"
Taare Zameen Par,(2007),"
Drama, Family            ",165 min,"

8.4
",,"
    Directors:
Aamir Khan, 
Amole Gupte
| 
    Stars:
Darsheel Safary, 
Aamir Khan, 
Tisca Chopra, 
Vipin Sharma
","172,569","
Votes:
172,569
| Gross:
$1.22M
"
WALL·E,(2008),"
Animation, Adventure, Family            ",98 min,"

8.4
",95        ,"
    Director:
Andrew Stanton
| 
    Stars:
Ben Burtt, 
Elissa Knight, 
Jeff Garlin, 
Fred Willard
","1,013,471","
Votes:
1,013,471
| Gross:
$223.81M
"
The Lives of Others,(2006),"
Drama, Mystery, Thriller            ",137 min,"

8.4
",89        ,"
    Director:
Florian Henckel von Donnersmarck
| 
    Stars:
Ulrich Mühe, 
Martina Gedeck, 
Sebastian Koch, 
Ulrich Tukur
","363,561","
Votes:
363,561
| Gross:
$11.29M
"
Oldeuboi,(2003),"
Action, Drama, Mystery            ",101 min,"

8.4
",77        ,"
    Director:
Chan-wook Park
| 
    Stars:
Choi Min-sik, 
Yoo Ji-Tae, 
Kang Hye-jeong, 
Kim Byeong-Ok
","523,556","
Votes:
523,556
| Gross:
$0.71M
"
Memento,(2000),"
Mystery, Thriller            ",113 min,"

8.4
",80        ,"
    Director:
Christopher Nolan
| 
    Stars:
Guy Pearce, 
Carrie-Anne Moss, 
Joe Pantoliano, 
Mark Boone Junior
","1,139,186","
Votes:
1,139,186
| Gross:
$25.54M
"
Mononoke-hime,(1997),"
Animation, Action, Adventure            ",134 min,"

8.4
",76        ,"
    Director:
Hayao Miyazaki
| 
    Stars:
Yôji Matsuda, 
Yuriko Ishida, 
Yûko Tanaka, 
Billy Crudup
","350,015","
Votes:
350,015
| Gross:
$2.38M
"
Once Upon a Time in America,(1984),"
Crime, Drama            ",229 min,"

8.4
",,"
    Director:
Sergio Leone
| 
    Stars:
Robert De Niro, 
James Woods, 
Elizabeth McGovern, 
Treat Williams
","316,398","
Votes:
316,398
| Gross:
$5.32M
"
Raiders of the Lost Ark,(1981),"
Action, Adventure            ",115 min,"

8.4
",85        ,"
    Director:
Steven Spielberg
| 
    Stars:
Harrison Ford, 
Karen Allen, 
Paul Freeman, 
John Rhys-Davies
","893,321","
Votes:
893,321
| Gross:
$248.16M
"
The Shining,(1980),"
Drama, Horror            ",146 min,"

8.4
",66        ,"
    Director:
Stanley Kubrick
| 
    Stars:
Jack Nicholson, 
Shelley Duvall, 
Danny Lloyd, 
Scatman Crothers
","911,811","
Votes:
911,811
| Gross:
$44.02M
"
Apocalypse Now,(1979),"
Drama, Mystery, War            ",147 min,"

8.4
",94        ,"
    Director:
Francis Ford Coppola
| 
    Stars:
Martin Sheen, 
Marlon Brando, 
Robert Duvall, 
Frederic Forrest
","614,397","
Votes:
614,397
| Gross:
$83.47M
"
Alien,(1979),"
Horror, Sci-Fi            ",117 min,"

8.4
",89        ,"
    Director:
Ridley Scott
| 
    Stars:
Sigourney Weaver, 
Tom Skerritt, 
John Hurt, 
Veronica Cartwright
","798,486","
Votes:
798,486
| Gross:
$78.90M
"
Tengoku to jigoku,(1963),"
Crime, Drama, Mystery            ",143 min,"

8.4
",,"
    Director:
Akira Kurosawa
| 
    Stars:
Toshirô Mifune, 
Yutaka Sada, 
Tatsuya Nakadai, 
Kyôko Kagawa
","35,994","
Votes:
35,994
"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),"
Comedy            ",95 min,"

8.4
",97        ,"
    Director:
Stanley Kubrick
| 
    Stars:
Peter Sellers, 
George C. Scott, 
Sterling Hayden, 
Keenan Wynn
","455,511","
Votes:
455,511
| Gross:
$0.28M
"
Witness for the Prosecution,(1957),"
Crime, Drama, Mystery            ",116 min,"

8.4
",,"
    Director:
Billy Wilder
| 
    Stars:
Tyrone Power, 
Marlene Dietrich, 
Charles Laughton, 
Elsa Lanchester
","111,031","
Votes:
111,031
| Gross:
$8.18M
"
Paths of Glory,(1957),"
Drama, War            ",88 min,"

8.4
",90        ,"
    Director:
Stanley Kubrick
| 
    Stars:
Kirk Douglas, 
Ralph Meeker, 
Adolphe Menjou, 
George Macready
","181,012","
Votes:
181,012
"
Rear Window,(1954),"
Mystery, Thriller            ",112 min,"

8.4
",100        ,"
    Director:
Alfred Hitchcock
| 
    Stars:
James Stewart, 
Grace Kelly, 
Wendell Corey, 
Thelma Ritter
","449,656","
Votes:
449,656
| Gross:
$36.76M
"
Sunset Blvd.,(1950),"
Drama, Film-Noir            ",110 min,"

8.4
",,"
    Director:
Billy Wilder
| 
    Stars:
William Holden, 
Gloria Swanson, 
Erich von Stroheim, 
Nancy Olson
","204,313","
Votes:
204,313
"
The Great Dictator,(1940),"
Comedy, Drama, War            ",125 min,"

8.4
",,"
    Director:
Charles Chaplin
| 
    Stars:
Charles Chaplin, 
Paulette Goddard, 
Jack Oakie, 
Reginald Gardiner
","205,831","
Votes:
205,831
| Gross:
$0.29M
"
1917,(2019),"
Drama, Thriller, War            ",119 min,"

8.3
",78        ,"
    Director:
Sam Mendes
| 
    Stars:
Dean-Charles Chapman, 
George MacKay, 
Daniel Mays, 
Colin Firth
","451,579","
Votes:
451,579
| Gross:
$159.23M
"
Tumbbad,(2018),"
Drama, Fantasy, Horror            ",104 min,"

8.3
",,"
    Directors:
Rahi Anil Barve, 
Anand Gandhi, 
Adesh Prasad
| 
    Stars:
Sohum Shah, 
Jyoti Malshe, 
Anita Date, 
Ronjini Chakraborty
","29,377","
Votes:
29,377
"
Drishyam,(2013),"
Crime, Drama, Thriller            ",160 min,"

8.3
",,"
    Director:
Jeethu Joseph
| 
    Stars:
Mohanlal, 
Meena, 
Asha Sharath, 
Ansiba
","34,484","
Votes:
34,484
"
Jagten,(2012),"
Drama            ",115 min,"

8.3
",77        ,"
    Director:
Thomas Vinterberg
| 
    Stars:
Mads Mikkelsen, 
Thomas Bo Larsen, 
Annika Wedderkopp, 
Lasse Fogelstrøm
","289,054","
Votes:
289,054
| Gross:
$0.69M
"
Jodaeiye Nader az Simin,(2011),"
Drama            ",123 min,"

8.3
",95        ,"
    Director:
Asghar Farhadi
| 
    Stars:
Payman Maadi, 
Leila Hatami, 
Sareh Bayat, 
Shahab Hosseini
","223,654","
Votes:
223,654
| Gross:
$7.10M
"
Incendies,(2010),"
Drama, Mystery, War            ",131 min,"

8.3
",80        ,"
    Director:
Denis Villeneuve
| 
    Stars:
Lubna Azabal, 
Mélissa Désormeaux-Poulin, 
Maxim Gaudette, 
Mustafa Kamel
","153,877","
Votes:
153,877
| Gross:
$6.86M
"
Dara iz Jasenovca,(2020),"
Drama, War            ",130 min,"

8.3
",,"
    Director:
Predrag Antonijevic
| 
    Stars:
Biljana Cekic, 
Zlatan Vidovic, 
Anja Stanic, 
Luka Saranovic
","34,230","
Votes:
34,230
"
The Father,(I) (2020),"
Drama            ",97 min,"

8.3
",88        ,"
    Director:
Florian Zeller
| 
    Stars:
Anthony Hopkins, 
Olivia Colman, 
Mark Gatiss, 
Olivia Williams
","31,071","
Votes:
31,071
"
Babam ve Oglum,(2005),"
Drama, Family            ",112 min,"

8.3
",,"
    Director:
Çagan Irmak
| 
    Stars:
Eser Sariyar, 
Çetin Tekindor, 
Fikret Kuskan, 
Hümeyra
","80,318","
Votes:
80,318
"
Inglourious Basterds,(2009),"
Adventure, Drama, War            ",153 min,"

8.3
",69        ,"
    Director:
Quentin Tarantino
| 
    Stars:
Brad Pitt, 
Diane Kruger, 
Eli Roth, 
Mélanie Laurent
","1,289,098","
Votes:
1,289,098
| Gross:
$120.54M
"
Eternal Sunshine of the Spotless Mind,(2004),"
Drama, Romance, Sci-Fi            ",108 min,"

8.3
",89        ,"
    Director:
Michel Gondry
| 
    Stars:
Jim Carrey, 
Kate Winslet, 
Tom Wilkinson, 
Gerry Robert Byrne
","922,525","
Votes:
922,525
| Gross:
$34.40M
"
Amélie,(2001),"
Comedy, Romance            ",122 min,"

8.3
",69        ,"
    Director:
Jean-Pierre Jeunet
| 
    Stars:
Audrey Tautou, 
Mathieu Kassovitz, 
Rufus, 
Lorella Cravotta
","710,836","
Votes:
710,836
| Gross:
$33.23M
"
Snatch,(2000),"
Comedy, Crime            ",104 min,"

8.3
",,"
    Director:
Guy Ritchie
| 
    Stars:
Jason Statham, 
Brad Pitt, 
Benicio Del Toro, 
Dennis Farina
","790,814","
Votes:
790,814
| Gross:
$30.33M
"
Requiem for a Dream,(2000),"
Drama            ",102 min,"

8.3
",68        ,"
    Director:
Darren Aronofsky
| 
    Stars:
Ellen Burstyn, 
Jared Leto, 
Jennifer Connelly, 
Marlon Wayans
","776,501","
Votes:
776,501
| Gross:
$3.64M
"
American Beauty,(1999),"
Drama            ",122 min,"

8.3
",84        ,"
    Director:
Sam Mendes
| 
    Stars:
Kevin Spacey, 
Annette Bening, 
Thora Birch, 
Wes Bentley
","1,080,567","
Votes:
1,080,567
| Gross:
$130.10M
"
Good Will Hunting,(1997),"
Drama, Romance            ",126 min,"

8.3
",70        ,"
    Director:
Gus Van Sant
| 
    Stars:
Robin Williams, 
Matt Damon, 
Ben Affleck, 
Stellan Skarsgård
","874,326","
Votes:
874,326
| Gross:
$138.43M
"
